LSR_GOODS_CD,LSR_GOODS_NM,FCLTY_TEL_NO
60841,[제주] 제라진 오프로드+여기가볼래,070-8880-3900
60842,[경기 가평] 남이섬 + 앤디,1877-2006
60843,[제주] 추석투어패스,
60844,[경기 가평] 남이섬티켓+남이섬하늘사랑펜션의 플렉스한 여행,
60845,[제주 애월] 아르떼뮤지엄,
60846,[제주 조천] 라프 라플라이 여기가볼래,064-796-0880
60847,[★2021특가]  통영 스카이라인 루지,1522-2468
60848,[★추석특가] 대관령 하늘목장 특가,033-332-8061
60849,[한글날 특가★] 이월드 자유이용권,053-620-0001
60850,"[★추석특가] 9,81파크 레이싱 실내게임패키지(~10/31)",
60851,[★추석특가]  SEA LIFE 부산아쿠아리움,051-740-1700
60852,[할로윈 특가★] 경주월드 10월 이용권,054-745-7711
60853,[서울 삼성] 코엑스 아쿠아리움 2인특가,02-700-7200
60854,[경기 남양주] 더드림핑 웨이브서프 BIG2 BIG3,031-595-2345
60855,[경기 남양주] 더드림핑 웨이브서프 20대 특가,031-595-2345
60856,[경기 가평] 가평남이섬티켓+남이섬 허브향기펜션의 플렉스한 여행,1877-2006
60857,[★추석특가] 한강 세빛섬 골든블루마리나 요트,02-599-0900
60860,[경기 과천] 서울랜드 After 4,02-509-6000
60861,[경기 과천] 서울랜드 종일권,02-509-6000
60862,[경기 과천] 서울랜드 어린이 종합권,02-509-6000
60863,[여수] 여수예술랜드 미디어아트 / 조각공원 / 트릭아트,061-665-0000
60864,[추석특가★] 반포 한강 세빛섬 골든블루마리나 요트,02-599-0900
60865,[경기 과천] 서울랜드 After 2,02-509-6000
60866,[남산] N서울타워 폴인 남산 포레스트PKG,02-3455-9277
60867,[서울 잠실] 롯데월드 어드벤처 종합이용권 : 10월,02-1661-2000
60868,[서울 잠실] 롯데월드 어드벤처 패밀리권 : 10월,02-1661-2000
60869,[서울 잠실] 롯데월드 어드벤처 머리띠PKG : 10월,02-1661-2000
60870,[서울 잠실] 롯데월드 어드벤처  잠바주스PKG : 10월,02-1661-2000
60871,[서울 잠실] 롯데월드 어드벤처 할로윈 제대로 즐기기 PKG : 10월,02-1661-2000
60873,[부산 해운대] SEA LIFE 부산아쿠아리움 1인권 특가,051-740-1700
60874,[강원 횡성] 웰리힐리 워터플래닛 로우시즌,1544-8833
60875,[경기 시흥] 리프패럿 앵무새 키즈카페 배곧신도시점,042-721-1426
60876,[강원 태백] 20/21 오투리조트 시즌권 1차판매,033-580-7000
60877,[대구 달서] 이월드 83타워 전망대/아이스링크 PKG 10월,053-620-0001
60878,[강원 춘천] 춘천 힐링캠프펜션과 사륜바이크 특가할인,
60879,[전남 여수] 미남크루즈 여수밤바다,061-644-6256
60881,[쿠폰할인★] 키자니아 서울/부산 어린이 체험테마파크 10월,1544-5110
60882,[경기 가평] 가평모리하우스와 함께하는 액티비티 사륜바이크 1박 패키지,1877-2006
60883,[남산] N서울타워 전망대 이용권 10/1~10/31,02-3455-9277
60884,[부산] 부산타워 용두산 전망대 10월,051-661-9393
60885,[남산] N서울타워 전망대 이용권 (~1/31),02-3455-9277
60899,[남산] N서울타워 전망대+N버거/다이닝PKG ~11/30,02-3455-9277
60900,[남산] N서울타워 전망대+N버거/다이닝PKG 10/1~10/31,02-3455-9277
60903,[경기 용인] 로만바스 온천+찜질방/방갈로 10월,031-335-1118
61113,[강원 평창] 용평리조트 발왕산 케이블카 8월,02-6925-3193
61114,[강원 평창] 용평리조트 발왕산 케이블카&스카이워크,02-6925-3193
61115,[★오늘만이가격] 알파카월드,1899-2250
61116,[서울 송파] 롯데월드 어드벤쳐 연간이용권 그린권 10월 1차 특가,02-1661-2000
61117,[대구 달서] 이월드 자유이용권 10월 (9/28~11/1),053-620-0001
61118,[한글날 특가★] 잠실 롯데월드 아쿠아리움 입장권 특가,1661-2000
61119,[특가★] 롯데월드 아쿠아리움 연간회원권 1차,1661-2000
61121,[딜카] 제주 렌터카 : 대형/중형 SUV,1644-1346
61122,[충남 공주] 노라쥬 실내동물원,010-2911-2727
61123,[★추석특가] 롯데월드 서울스카이 전망대,1661-2000
61124,[경북 경주] 경주월드 10월 이용권,054-745-7711
61125,[대구 달서] 이월드 연간회원권 10월,053-620-0001
61126,[경남 양산] 에덴밸리리조트 루지 양산 이용권 10월,055-379-8159
61127,[단독특가★] 오크밸리 리조트 객실 바우처 특가,010-8618-803
61128,[서울 송파] 롯데월드 아쿠아리움 입장권 10월,1661-2000
61129,[찜카] 전국 렌터카 : 10만원권,1644-1346
61130,[찜카] 전국 렌터카 : 15만원권,1644-1346
61131,[찜카] 전국 렌터카 : 20만원권,1644-1346
61132,[찜카] 전국 렌터카 : 5만원권,1644-1346
61133,[서울 잠실] 롯데월드아쿠아리움+서울스카이 패키지,02-1661-2000
61134,[★추석특가] 롯데월드 어드벤처 (~11/3),02-1661-2000
61135,[경기 하남] 아쿠아필드 하남 워터파크/복합권 (10/05~12/20),031-8072-8800
61136,[충남 아산] 아산스파비스 종일권 10월,041-539-2000
61137,[충남 아산] 파라다이스 스파 도고 카라반 이용권 로우시즌,041-537-7100
61138,[경기 가평] 쁘띠프랑스 입장권,031-584-8200
61349,[경기 고양] 아쿠아필드 찜질스파 고양점 (10/5~12/20),031-5173-4500
61350,[경기 하남] 아쿠아필드 찜질스파 하남점 (10/5~12/20),031-8072-8800
61351,[제주 서귀포] 무민랜드,064-794-0420
61352,[경북 경주] 경주 스파럭스 10월,054-624-3388
61353,[경북투어패스] 보문투어패스 48시간권,1522-2089
61354,[제주 서귀포] 망고 스튜디오,064-732-2220
61355,[경북투어패스] 보문투어패스 48시간권+우양미술관(스누피전시회),1522-2089
61356,[서울 영등포] 씨랄라 사우나 입장권,1522-9661
61357,[경기 가평] 디노+레일바이크,1877-2006
61358,[경기 이천] 별빛정원우주 10월,031-645-0002
61359,[전국] 12개점 코코몽키즈랜드 키즈카페 10월,02-2157-5718
61360,[강원 횡성] 웰리힐리파크 시즌권 2차판매(10/6~11/19),1544-8833
61361,[강원 횡성] 웰리힐리파크 시즌권 워터결합 2차판매(10/6~11/19),1544-8833
61362,[제주 서귀포] 제주 빛의벙커 : 반고흐 10월,1544-2653
61363,[단독 특가★] 에버랜드 종일권+츄러스 (~10/31),031-320-5000
61364,[충남 태안] 아일랜드 리솜 오아식스 선셋스파,
61367,[대구 달성] 에코테마파크 대구숲,053-761-7400
61368,[경기 포천] 포천 어메이징파크,031-532-1881
61369,[제주 제주시] 반지만들기,064-749-6399
61370,[서울 강남] 코엑스 2020 슬립테크,02-6000-7400~2
61371,[전남 여수] 여수 지오클럽,061-692-6060
61372,[경기 포천] 허브아일랜드,031-535-6494
61373,[경남 김해] 가야테마파크 페인터즈 공연 패키지(가을 특가),055-340-7900
61374,[한글날 특가★] 전국 주렁주렁 테마파크 특가,1644-2153
61375,[강원 홍천] 20/21 비발디파크 스키시즌권 정상1차 판매 시작,1588-4888
61376,[강원 춘천] 엠씨레저 스키장비렌탈 강습 패키지,
61377,[한글날 특가★] 롯데월드 어드벤처 10월 특가,02-1661-2000
61378,[★특가60분] 한강 세빛섬 골든블루마리나 요트,02-599-0900
61379,[한글날 특가★] 반포 한강 세빛섬 골든블루마리나 요트,02-599-0900
61380,[★오늘만이가격] 반포 한강 세빛섬 골든블루마리나 요트,02-599-0900
61381,[서울 잠실] 롯데월드아쿠아리움+서울스카이 패키지,02-1661-2000
61382,[한글날 특가★] 롯데월드 서울스카이 전망대,1661-2000
61383,[주말특가★] 에버랜드 종일권+츄러스포함(~10/31),031-320-5000
61384,[한글날 특가★] 이천 별빛정원우주 특가,031-645-0002
61385,[경기 안성] 아쿠아필드 안성점 (10/12~11/1),031-8092-1900
61386,[강원 평창] 알펜시아 리조트 스키시즌권 정상1차,033-339-0318
61387,[서울 송파] 롯데월드 어드벤쳐 연간이용권 2차 특가,02-1661-2000
61388,[경기 포천] 허브아일랜드,031-535-6494
61389,[특가★] 롯데월드 아쿠아리움 연간회원권 10월 특가 2차,1661-2000
61390,[경남 창원] 마산 로봇랜드,055-514-6000
61391,[선착순 할인★] 롯데월드 어드벤쳐 연간이용권 그린권 특가,02-1661-2000
61393,[특가★] 휘닉스평창 스키시즌권 2차,1577-0069
61394,[선착순 할인★]롯데월드 아쿠아리움 연간회원권  특가,1661-2000
61396,[특가★][경기 시흥] 세계 최대규모 인공서핑파크 웨이브파크,031-431-9600
61397,[특가★][경기 시흥] 세계 최대규모 인공서핑파크 웨이브파크,031-431-9600
61398,[특가★][경기 시흥] 세계 최대규모 인공서핑파크 웨이브파크,031-431-9600
61399,[단독특가★] 휘닉스평창 객실 초특가,1588-2828
61622,[경기 포천]베어스타운 시즌권 4차,031-540-5151
61623,[특가★] 코엑스 아쿠아리움 2020 무제한권,02-700-7200
61624,[선착순 할인★] 이월드 연간회원권 10월 특가,053-620-0001
61625,[대구 달서] 이월드 연간회원권 10월,053-620-0001
61626,[단독특가★] 전국 플레이타임 키즈카페,02-2210-9409
61627,[단독특가★] 전국 챔피언 키즈카페 44개점,032-321-3282
61628,[특가★] SEA LIFE 부산아쿠아리움 특가,051-740-1700
61629,[강원 춘천] 엘리시안강촌 스키몬스터 스키장비렌탈 강습 패키지,
61630,[제주 안덕] 아르떼뮤지엄 여기가볼래,064-799-9009
61631,[경북투어패스] 울진영덕투어패스 48시간권,1522-2089
61632,[경북 경주] 동궁원 입장권,054-779-8725
61633,[서울 삼성] 코엑스아쿠아리움 10월,02-700-7200
61634,[쿠폰 할인★] 챔피언 키즈카페+코엑스아쿠아리움 PKG,02-700-7200
61635,[특가60분★][경기 시흥] 세계 최대규모 인공서핑파크 웨이브파크,031-431-9600
61636,[대구 동구] 토이빌리지 혁신점 ★QR테스트 (구매X),053-964-0099
61637,[특가★] 이월드 자유이용권 특가 (~11/30),053-620-0001
61638,[경기 안성] 아쿠아필드 안성점 PKG (10/15~11/1),031-8092-1900
61639,[경남 창원] 마산 로봇랜드,055-514-6000
61642,[경기 화성] 쥬라리움 동탄점,070-8882-7542
61643,[경기 하남] 쥬라리움  하남점,070-8860-7542
61644,[경기 파주] 쥬라리움 파주점,070-8860-7542
61645,[대구 달서] 이월드 자유이용권 할로윈PKG (10/16~10/31),053-620-0001
61647,[할로윈특가★] 네이처파크 할로윈 특가,1688-8511
61648,[단독특가★] 알펜시아리조트 객실+워터파크 3인+스키점프대 관광 3인,033-339-0318
61650,[부산 해운대] 센텀 스파랜드 (10/17~12/31),1668-2850
61651,[서울 노원] 비숍 클라이밍,02-936-0515
61852,[단독특가★] 과천 서울랜드 After 2,02-509-6000
61853,[오늘만 앵콜특가★] [경기 시흥] 세계 최대규모 인공서핑파크 웨이브파크,031-431-9600
61854,[할로윈특가★] 코엑스 아쿠아리움 특가,02-700-7200
61855,[할로윈특가★] 건대 방탈출카페 더박스 건대점,02-3409-4635
61856,[할로윈특가★] 넥스트에디션 방탈출 3개지점 특가,050-7600-1203
61857,[할로윈특가★] SEA LIFE 부산아쿠아리움 특가,051-740-1700
61858,[익선동] 꼬장맨 리얼샷,070-4115-0070
61859,[할로윈특가★] 이천 별빛정원우주 (~11/30),031-645-0002
61860,[경기 남양주] 더드림핑 웨이브서프 어린이전용,031-595-2345
61861,[서울 삼성] 코엑스 아쿠아리움,02-700-7200
61862,[선착순특가★] 롯데월드 어드벤처 (~11/15),02-1661-2000
61863,[할로윈특가★] 파라다이스 스파 도고 로우시즌 1+1 특가,041-537-7100
61864,[야놀자 특가] [경남 김해] 롯데워터파크 2차 특가,1661-2000
61865,[서울 서초] 반포한강공원텐트 낭만소풍,010-7711-4910
61866,[대구 달서] 엘리몽 키즈파크+사우나 패키지,053-288-5050
61867,[제주 제주시] 캐니언 파크,064-711-1145
61868,[제주 조천] 제라진 오프로드,070-8880-3900
61869,[경기 용인]  에버랜드 소인권 (10/28~11/30),031-320-5000
61870,[서울 삼성] 코엑스 아쿠아리움 2020 11월,02-700-7200
61871,[대구 달성] 에코테마파크 대구숲 에코어드벤처 10월,053-761-7400
61872,[제주] 제주 오름 도슨트 체험 - 왕이메오름,064-711-6482
61873,[특가60분★] 이월드 자유이용권 (~12/31),053-620-0001
61874,[★오늘만이가격] 아산 파라다이스 스파 도고 로우시즌 1+1 특가,041-537-7100
61875,[제주] 제주 오름 도슨트 체험 - 금오름,064-711-6482
61876,[제주 동부] 제주 오름 도슨트 체험 - 따라비오름,064-711-6482
61877,제주 오름 도슨트 체험 - 다랑쉬오름,064-711-6482
61878,[한강] 뚝섬한강공원텐트대여 영텐트,010-8098-4560
61879,[할로윈 특가★] 웨이브파크 할로윈 서프나이트 특가,031-431-9600
61880,[경기 용인]  에버랜드 종일/오후권(11/1~21/1/3),031-320-5000
61881,[경북 경주] 캠프VR 경주밀레니엄점,070-7719-9900
61882,[할로윈특가★] 전남 여수예술랜드 테마파크,061-665-0000
61883,[선착순특가★] 용평리조트 객실 룸온리,02-6925-3193
61903,[★선착순특가] 용평리조트 객실+케이블카 패키지,02-6925-3193
61904,[블랙위크★] 경주월드 자유이용권,054-745-7711
61905,[할로윈특가★] 충남 덕산 스플라스,041-330-8000
61906,[충남 예산] 덕산 스플라스 워터파크 비수기(10/24~12/18),041-330-8000
62084,[충남 태안] 아일랜드 리솜 오아식스 선셋스파,
62085,[경기 이천] 별빛정원우주 11월,031-645-0002
62086,[충북 제천] 해브나인스파 (~12/18),043-649-6014
62087,[부산] 부산타워 용두산 전망대 11월,051-661-9393
62088,[남산] N서울타워 전망대+N버거/다이닝PKG 11월,02-3455-9277
62089,[서울 용산] 남산 N서울타워 전망대 이용권 (~11/30),02-3455-9277
62090,[선착순특가★] 롯데월드 어드벤처 매직싹쓸이권,02-1661-2000
62091,[특가★] 에버랜드 종일이용권(11/1~21/1/3),031-320-5000
62092,[제주 조천] 드론파크,070-4400-3300
62093,[전남 여수] 미남크루즈 11월,061-644-6256
62094,[제주 제주시] 러브랜드 : 이색전시,064-712-6988
62095,[제주 중문] 소인국 테마파크,064-794-5400
62096,[제주 서귀포] 서귀포 잠수함,064-732-6060
62097,[제주 조천] 서프라이즈 테마파크,064-783-7272
62098,[제주 서귀포] 불빛정원 + 인생사진관,064-799-6996
62100,"[주말특가★] 알파카와 함께 떠나는 가을여행, 알파카월드",1899-2250
62101,[제주 조천] 에코랜드 테마파크,064-802-8000
62102,[제주 서귀포] 월드제트보트,0647842337
62103,[주말특가★] 반포 한강 세빛섬 골든블루마리나 요트,02-599-0900
62104,[제주 서귀포] 중문카트,064-738-8585
62105,[제주 서귀포] 윈드1947 카트,064-733-3500
62106,[제주 서귀포] 휴애리 자연생활공원 겨울 동백 축제,064-732-2114
62107,[주말특가★] 서울대공원 리프트 PKG,02-504-5657
62110,[제주 안덕] 본태박물관,064-792-8108
62111,[남이섬] 가평 가평탑랜드 번지점프,031-582-5372
62112,[제주 서귀포] 세리월드 카트,064-739-8254
62113,[제주 서귀포] 다이노 대발이파크,064-764-0002
62114,[제주 구좌] 제주바다체험장,064-784-5757
62115,[부산 해운대] 벡스코 상상체험 키즈월드,070-4801-6034
62116,"[쿠폰적용시 27,807원★] 에버랜드 종일권+츄러스증정(~11/30)",031-320-5000
62117,[서울 노원] 이창현 노원클라이밍센터,02-935-0515
62118,[제주 안덕] 피규어뮤지엄 : 이색전시,064-792-2011
62120,[충남 공주] 노라쥬 실내동물원 11월,010-2911-2727
62121,[경기 용인] 로만바스 평일 온천이용권(~12/31 중 평일),031-335-1118
62122,[제주 안덕] 항공우주박물관 : 이색박물관,064-800-2000
62123,[경기 부천] 플레이 아쿠아리움 + 아쿠아캔들 PKG,032-320-6000
62124,[제주 서귀포] 베니스랜드 테마파크,064-784-6566
62125,[경기 과천] 서울대공원 리프트+동물원 패키지,02-504-5657
62126,[전남 여수] 여수 테디베어 뮤지엄,061-666-1181
62127,[강원 속초] 한화 설악워터피아 로우시즌(10/26~12/11),033-630-5800
62128,[제주 제주시] 힐링 카약 비체올린,064-773-0000
62129,[대구 달서] 이월드 83타워 전망대/아이스링크 PKG 11월,053-620-0001
62130,[특가+추가할인★] 키자니아 어린이 체험테마파크,1544-5110
62131,[제주 안덕] 세계자동차+피아노박물관 : 이색전시회,064-792-3000
62132,[서울 송파] 롯데월드 아쿠아리움 입장권 11월,1661-2000
62133,[경기 남양주] 더드림핑 웨이브서프 서핑데이,031-595-2345
62138,[제주 안덕] 점보빌리지,064-792-1233
62139,[강원 홍천] 가리산 레포츠파크,070-8831-8138
62142,[제주 구좌] 메이즈랜드,064-784-3838
62143,[제주 표선] 목장카페 드르쿰다 : 카트 & 승마체험,064-787-5220
62144,[제주 서귀포] 세리월드 승마,064-739-8254
62146,[할로윈 특가★] 에버랜드 종일권+츄러스증정(~11/30) 단독특가★,031-320-5000
62147,[대구 달서] 이월드 자유이용권 (~12/31),053-620-0001
62148,[통영] 더카트 인 통영 야놀자 패키지 ★,055-648-2022
62149,[서울 잠실] 롯데월드 어드벤처 패밀리권 : 11월,02-1661-2000
62150,[할인특가★] 키자니아 서울/부산 어린이 체험테마파크 (11/1~11/30),1544-5110
62151,[서울 잠실] 롯데월드 어드벤처 머리띠PKG : 11월,02-1661-2000
62152,[인기상품★] 롯데월드 어드벤처 종합이용권 : 11월,02-1661-2000
62154,[제주 서귀포] 제주 빛의벙커 : 반고흐 11월,1544-2653
62155,[경남 양산] 에덴밸리리조트 루지 양산 이용권 11월,055-379-8159
62156,[서울 잠실] 롯데월드 어드벤쳐 연간이용권 11월 1차,02-1661-2000
62157,[경기 포천] 곤충테마여행,
62158,[대구 달서] 이월드 연간회원권 11월,053-620-0001
62159,[서울 송파] 롯데월드 아쿠아리움 연간회원권 ★11월 특가 1차,1661-2000
62160,[경북 경주] 경주월드 11월 이용권,054-745-7711
62161,[★선착순특가★] 여수 예술랜드 리조트 바우처 특가,061-665-0000
62162,[★오늘만이가격] 여수 예술랜드 리조트,061-665-0000
62163,[경기 용인] 에버랜드 종일권+할로윈마스크 무료증정(~10/31),031-320-5000
62164,[선착순특가★] 롯데월드 어드벤처 매직싹쓸이권 11월,02-1661-2000
62349,[제주 애월] 제주 양떼목장,064-799-7346
62350,[서울 잠실] 롯데월드아쿠아리움+서울스카이 패키지,02-1661-2000
62351,[경기 안성] 아쿠아필드 안성점 (11/2~11/29),031-8092-1900
62352,[경기 파주] 쥬라리움 파주점,070-8860-7542
62353,[제주 서귀포] 건강과 성 박물관,064-792-5700
62354,[경기 화성] 쥬라리움 동탄점,070-8882-7542
62355,[경남 김해] 롯데워터파크 11월,1661-2000
62356,[제주] 캠핑 올레 차박 패키지,070-8882-7542
62357,[제주 애월]공룡랜드,064-746-3060
62360,[제주 서귀포] 산방산 사랑의 유람선 : 유람선투어,064-792-1188
62361,★[전남]여수 유월드 루지 테마파크 커플 추천상품,061-810-6000
62362,★[전남] 여수 유월드 루지 테마파크 패밀리 추천상품,02-2157-5718
62363,[제주 서귀포] 중문승마공원,064-738-1942
62364,[제주 한경] 차귀도 배낚시,064-773-1114
62365,[대전 중구] 대전 오월드 자유이용권 11월,042-580-4820
62366,[제주 상예] 제주 실탄 사격장,064-739-7007
62367,[제주 서귀포] 조은승마장,064-792-0550
62368,[전남 여수] 여수테디베어 + 아쿠아플라넷 여수 PKG,061-666-1181
62370,[대구 달서] 이월드 자유이용권 ★마이리얼트립 레저 특가,053-620-0001
62371,[전남 여수] 여수 테디베어 + 여수 해상케이블카 PKG,061-666-1181
62372,[단독특가★] 세계 최대규모 인공서핑파크 웨이브파크,031-431-9600
62373,[부산]부산시티투어버스+뮤지엄원(부산역 앤 해운대 센텀),051-464-9898
62374,[제주 서귀포] 제주아리랑 낙타트래킹,064-787-2256
62375,[인기상품★] 에버랜드 종일권+츄러스+재방문권 증정 (~20/12/31),031-320-5000
62376,"[쿠폰적용시 27,807원★] 에버랜드 종일권+츄러스증정(~11/30)",031-320-5000
62377,[제주 서귀포] 토이파크 : 이색전시,064-794-0333
62382,[강원 평창] 용평리조트 스키패스권 2차,02-6925-3193
62383,[선착순 특가★] 롯데월드 어드벤처 선착순 특가,02-1661-2000
62384,[강원 평창] 용평리조트 스키파워패스 2차,02-6925-3193
62385,[제주 애월] 웨딩카페 나비인,064-799-5648
62386,[특가60분★] 롯데월드 어드벤처 자유이용권(~12/4),02-1661-2000
62387,[제주 조천] 포레스트 사파리,064-783-0300
62388,[제주 서귀포] 세리월드 미로공원,064-739-8254
62389,[제주 서귀포] 아프리카 박물관,064-738-6565
62390,[단독특가★] 롯데워터파크 특가,1661-2000
62391,[경기 용인] 에버랜드 종일권(대인+소인) (~21/1/3),031-320-5000
62392,[경기 양평] 인기관광 패키지 (양떼목장/풀향기허브나라),
62393,[강원 평창] 용평리조트/알펜시아리조트 초인접 알프스렌탈샵,033-336-1777
62394,[제주 서귀포] 가파도 여객선 : 여객선투어,064-794-5490
62395,[부산 해운대]  부산 요트 투어 (이용권),
62396,[부산 동구] 부산시티투어버스 24시간권,051-464-9898
62397,[강원 태백] 오투리조트 리프트 & 장비렌탈권 (성수기),033-580-7000
62398,[경기 용인] 에버랜드 종일권+아마존익스프레스 Q-PASS 패키지(~11/30),031-320-5000
62399,[경기 용인] 에버랜드 종일권+로스트밸리 Q-PASS패키지(~11/30),031-320-5000
62400,[경기 용인] 에버랜드 종일권+사파리월드 Q-PASS패키지(~11/30),031-320-5000
62401,[강원 평창] 휘닉스파크 스노랜드 렌탈&강습,033-333-5333
62402,[제주 조천] 국제리더스클럽,064-783-0000
62403,[제주 안덕] 산방산탄산온천,064-792-8300
62405,[서울 송파] 롯데월드 어드벤처 회전목마 인생사진 PKG,02-1661-2000
62406,[경남 창원] 마산 로봇랜드 파크 패밀리권(~11/30),055-514-6000
62407,[경남 창원] 마산 로봇랜드 파크 더블할인권(~11/30),055-514-6000
62408,[강원 평창] 용평 포인트스키 렌탈샵,033-336-0297
62409,[빼빼로위크★] 방탈출카페 더박스 건대점 1+1특가,02-3409-4635
62410,"[빼빼로위크★] The Flower hello,심쿵전 1+1특가",1661-3972
62411,[전남 여수] 테디베어 뮤지엄+여수지역PKG,061-666-1181
62412,[블랙위크★] 이월드 자유이용권,053-620-0001
62413,[강원 홍천] 비발디 네오스키 강습,010-5378-5255
62414,[제주 안덕] 헬로키티 아일랜드,064-792-6114
62415,[제주 제주시] 캐니언 파크,064-711-1145
62416,[빼빼로위크★] 파라다이스 스파 도고 로우시즌 1+1,041-537-7100
62417,[경기 부천] 플레이아쿠아리움 + 플랜디키즈카페 PKG ★아이야놀자,032-320-6000
62418,[제주 서귀포] 제주민속촌,064-787-4501
62419,[제주 서귀포] 소인국테마파크 여기가볼래,064-794-5400
62420,[빼빼로위크★] 알파카월드 1+1특가,1899-2250
62421,[빼빼로위크★] 미남 크루즈 1+1특가,061-644-6256
62422,[단독특가★] 에버랜드 종일권+할로윈마스크 무료증정(~11/22),031-320-5000
62423,[경북] 청도 용암온천 이용권 + 빛축제 PKG,054-371-5500
62424,[특가60분★] 여수 미남크루즈,061-644-6256
62427,[빼빼로위크★] 코엑스 아쿠아리움 1+1특가,02-700-7200
62429,[경기 안성] 안성팜랜드,031-8053-7979
62442,"[홍천] 알파카와 함께 떠나는 가을여행, 알파카월드",1899-2250
62443,[경북 경주] CM 스포츠타운 롤러장 경주점(~11/30),054-624-0555
62446,[빼빼로위크★] 덕산 리솜 스플라스 1+1특가,041-330-8000
62447,[울산 북구] 리틀히어로키즈카페 울산점(~12/31),052-933-1155
62448,[남이섬] 가평 가평탑랜드 번지점프 QR테스트,031-582-5372
62449,[경기 일산] 히어로 키즈파크 일산점(~12/31),052-933-1155
62450,[충남 천안] 히어로 플레이파크 천안점(~12/31),041-903-2233
62451,[경기 화성] 히어로키즈파크 동탄점 (~12/31),031-8043-5279
62452,[경북 경주] 경주 WOW ZOO (~12/31),
62645,[특가 ★][서울 용산] N서울타워 전망대 이용권 11월,02-3455-9277
62646,[경기 파주] 사파리체험 테마파크,031-946-6656
62647,[경남 양산] 히어로 스포츠파크 양산점 (~12/31),055-785-1098
62648,[전북] 전북투어패스 1일권 + 익산 카페 아레라 PKG,1544-7913
62649,[경북 경주] 히어로 플레이파크(~12/31),054-624-0099
62650,[전북] 전북투어패스 임실치즈체험권 pkg,1544-7913
62651,[전북] 전북투어패스 고창 책마을해리 pkg,1544-7913
62652,[대구 수성] 히어로 키즈파크 대구점 (~12/31),053-719-3773
62653,[전북] 전북투어패스 순창 총댕이 서바이벌 pkg,1544-7913
62654,[경남 양산] 리틀히어로ZOO 양산점 (~12/31),055-785-1099
62655,[경북 문경] 문경 레일바이크,054-471-4200
62656,[부산 명지] 히어로 플레이파크 명지점 (~12/31),052-933-1155
62657,[전북 전주] 전북투어패스 한옥마을권 종합 PKG,1544-7913
62658,[전북 전주] 전북투어패스 한옥마을권+솜씨당 반지만들기 pkg,1544-7913
62659,[경북 경주] 경주 스파럭스 11월,054-624-3388
62660,[강원 평창] 알펜시아 리조트 스키시즌권 정상2차,033-339-0318
62661,[빼빼로위크★] 과천 서울랜드 After 2,02-509-6000
62662,[전북 전주] 전북투어패스 한옥마을권 + 공연관람권 PKG,1544-7913
62663,[선착순 할인★] 롯데월드 어드벤쳐 연간이용권 그린권 특가,02-1661-2000
62664,[특가★] 코엑스 아쿠아리움 20/21 윈터시즌 무제한권,02-700-7200
62665,[서울 송파] 롯데월드 아쿠아리움 연간회원권 ★11월 특가 2차,1661-2000
62666,[인천 서구] 리프패럿 앵무새 키즈카페 인천청라점,010-4918-8204
62667,[강원 태백] 오투리조트 리프트 & 장비렌탈권 (비수기),033-580-7000
62668,[대구] 이월드 연간회원권 ★마이리얼트립특가,053-620-0001
62669,[경기 안양] 리프패럿 앵무새 키즈카페 안양점,031-427-3382
62670,[충남 천안] 천안 레이저 태그 스포츠(~11/30),041-903-2233
62671,[2020어워즈★] 웰리힐리파크 객실+스키 리프트+장비렌탈 얼리버드 특가,1544-8833
62672,[2020어워즈★] 웰리힐리파크 객실+스키 리프트 얼리버드 특가,1544-8833
62673,[강원 평창] 휘닉스평창 블루캐니언 워터파크,1588-2828
62674,★야놀자단독★ 에버랜드 종일권+아기판다 스폐셜굿즈 3/4인패키지(~12/20),031-320-5000
62675,[특가60분★] 웨이브파크 특가,031-431-9600
62676,[부산 해운대] 부산 엑스 더 스카이(엘시티전망대),051-731-0098
62677,[강원 원주] 오크밸리 20/21 스키시즌권 3차,033-769-7070
62678,[특가★] 휘닉스평창 스키시즌권 3차,1577-0069
62679,[강원 원주] 20/21 오크밸리+O2리조트 통합시즌권,033-769-7070
62680,[전남 여수] 판타지아드림 서커스,
62681,[대구] 네이처파크 미라클패키지,1688-8511
62682,[대구] 이월드 자유이용권 별빛축제PKG,053-620-0001
62683,[경기 포천] 베어스타운 시즌권 5차,031-540-5151
62684,[강원 태백] 오투시즌권 2차 &오투+오크 통합시즌권 출시,033-580-7000
62687,[블랙위크★] 경기 시흥 웨이브파크 특가,031-431-9600
62688,[2020어워즈★] 웰리힐리파크 스키 리프트권 얼리버드 특가,1544-8833
62689,"[블랙위크★] 알파카와 함께 떠나는 가을여행, 알파카월드",1899-2250
62690,[얼리버드특가★] [부산 해운대] SEA LIFE 부산아쿠아리움 12월 입장권,051-740-1700
62691,[제주 서귀포] 마린파크 : 돌고래 체험,064-792-7777
62692,[쿠폰 할인★] 일산 원마운트 챔피언 1250★,031-961-6568
62693,[블랙위크★] 전국 챔피언 키즈카페 42개점,032-321-3282
62694,[블랙위크★] 전국 플레이타임 키즈카페,02-2210-9409
62695,[블랙위크★] 코엑스 아쿠아리움 이용권,02-700-7200
62696,[블랙위크★] 반포 한강 세빛섬 골든블루마리나 요트,02-599-0900
62697,[블랙위크★]부산 엑스 더 스카이(엘시티전망대),051-731-0098
62698,[전국] 11개점 코코몽키즈랜드 키즈카페 11월,02-2157-5718
